,,,,,,,,,,,,,,,,
,,,,,,IV Sweep,,,,,,,,,,,,,Optical Sweep,,,,,,,,,Set Wavelength,,,,,,,,,,,,,,SetVoltage,,,,,,Device Properties 
RoutineNumber, Device ID, ELECFlag, OPTICflag, setwflag, setvflag, Volt Select, Current Select, Volt Min,Volt Max,Current Min,Current Max,Volt Resolution,Current Resolution,IV/VI,RV/RI,PV/PI, Channel A, Channel B,Start,Stop,Stepsize,Sweep power,Sweep speed,Laser Output,Number of scans, Initial Range, Range Dec, Volt Select, Current Select, Volt Min,Volt Max,Current Min,Current Max,Volt Resolution,Current Resolution,IV/VI,RV/RI,PV/PI, Channel A, Channel B, Wavelength, Start, Stop, Stepsize, Sweep power,Sweep speed,Laser Output,Number of scans, Initial Range, Range Dec, Channel A, Channel B, Voltages, Wavelength, Polarization, Opt x, Opt y, type, Elec x, Elec y 
N/A,X:2822Y:34242SWDMCDCP326P318nmCal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,2822.0,3424.0,device,0,0,
N/A,X:2822Y:37661SWDMCDCP326P318nmCal2,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,2822.0,3766.0,device,0,0,
N/A,X:3322Y:3766WDMCDCP318nmCal21,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3322.0,3766.0,device,0,0,
N/A,X:3322Y:3426WDMCDCP318nmCal1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3322.0,3426.0,device,0,0,
N/A,X:2822Y:3220WDMCDCP318nmCal2,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,2822.0,3220.0,device,0,0,
N/A,X:4102Y:27493StageCDCP320G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4102.0,2749.0,device,0,0,
N/A,X:4102Y:30032StageCDCP320G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4102.0,3003.0,device,0,0,
N/A,X:4102Y:32571StageCDCP320G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4102.0,3257.0,device,0,0,
N/A,X:4110Y:20173StageCDCP316G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4110.0,2017.0,device,0,0,
N/A,X:4110Y:22712StageCDCP316G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4110.0,2271.0,device,0,0,
N/A,X:4110Y:25251StageCDCP316G220N1200CW60WGa450b550nmC2Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,4110.0,2525.0,device,0,0,
N/A,X:3963Y:-2884WDMCDCP321nmCal21,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3963.0,-2884.0,device,0,0,
N/A,X:3463Y:-28841SWDMCDCP321P318nmCal2,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3463.0,-2884.0,device,0,0,
N/A,X:3960Y:-3267WDMCDCP321nmCal21,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3960.0,-3267.0,device,0,0,
N/A,X:3963Y:-2544WDMCDCP321nmCal1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3963.0,-2544.0,device,0,0,
N/A,X:3960Y:-3142WDMCDCP321nmCal1,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3960.0,-3142.0,device,0,0,
N/A,X:3463Y:-25422SWDMCDCP321P318nmCal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3463.0,-2542.0,device,0,0,
N/A,X:3440Y:-19192SWDMCDCP326P318nmCal8deg,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3440.0,-1919.0,device,0,0,
N/A,X:3440Y:-22611SWDMCDCP326P318nmCal28deg,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3440.0,-2261.0,device,0,0,
N/A,X:3940Y:-1921WDMCDCP318nmCal1deg8,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3940.0,-1921.0,device,0,0,
N/A,X:3940Y:-2261WDMCDCP318nmCal21deg8,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3940.0,-2261.0,device,0,0,
N/A,X:3327Y:3189WDMCDCP326nmCal2,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,3327.0,3189.0,device,0,0,
N/A,X:2600Y:26043StagedualCDCP320316G220N1200CW60WGa450b550nmC1Cal,True,,,,True,False,0,10,,,1,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,TE,2600.0,2604.0,device,0,0,
